N_params_B,D_tokens_B,given_loss_reduction,additive_model_reduction,contrast_residual
0.07,10,0.6091000000000002,0.319733907492616,-0.2893660925073842
0.07,50,0.5183,0.319733907492616,-0.198566092507384
0.07,150,0.41869999999999985,0.319733907492616,-0.09896609250738386
0.07,300,0.44930000000000003,0.319733907492616,-0.12956609250738405
0.07,600,0.45009999999999994,0.319733907492616,-0.13036609250738396
0.16,10,0.4643999999999999,0.319733907492616,-0.14466609250738394
0.16,50,0.42449999999999966,0.319733907492616,-0.10476609250738367
0.16,150,0.4591999999999996,0.319733907492616,-0.13946609250738362
0.16,300,0.36480000000000024,0.319733907492616,-0.04506609250738425
0.16,600,0.4018999999999999,0.319733907492616,-0.08216609250738394
0.41,10,0.2722000000000002,0.319733907492616,0.04753390749261577
0.41,50,0.3713000000000002,0.319733907492616,-0.0515660925073842
0.41,150,0.4659,0.319733907492616,-0.146166092507384
0.41,300,0.4293999999999998,0.319733907492616,-0.1096660925073838
0.41,600,0.2763,0.319733907492616,0.043433907492616
0.7,10,0.36149999999999993,0.319733907492616,-0.041766092507383945
0.7,50,0.2862999999999998,0.319733907492616,0.03343390749261621
0.7,150,0.4350999999999998,0.319733907492616,-0.11536609250738383
0.7,300,0.35729999999999995,0.319733907492616,-0.037566092507383964
0.7,600,0.29349999999999987,0.319733907492616,0.026233907492616115
1.0,10,0.3655999999999997,0.319733907492616,-0.045866092507383716
1.0,50,0.2648999999999999,0.319733907492616,0.054833907492616074
1.0,150,0.31420000000000003,0.319733907492616,0.005533907492615953
1.0,300,0.35230000000000006,0.319733907492616,-0.03256609250738407
1.0,600,0.3092999999999999,0.319733907492616,0.010433907492616079
2.8,10,0.47520000000000007,0.319733907492616,-0.15546609250738408
2.8,50,0.2801,0.319733907492616,0.03963390749261597
2.8,150,0.19819999999999993,0.319733907492616,0.12153390749261606
2.8,300,0.3189000000000002,0.319733907492616,0.0008339074926158041
2.8,600,0.258,0.319733907492616,0.06173390749261598
4.0,10,0.36980000000000013,0.319733907492616,-0.05006609250738414
4.0,50,0.15520000000000023,0.319733907492616,0.16453390749261576
4.0,150,0.2838000000000003,0.319733907492616,0.03593390749261571
4.0,300,0.2150000000000003,0.319733907492616,0.10473390749261569
4.0,600,0.15300000000000002,0.319733907492616,0.16673390749261596
6.9,10,0.29059999999999997,0.319733907492616,0.029133907492616018
6.9,50,0.2916000000000003,0.319733907492616,0.028133907492615684
6.9,150,0.1766000000000001,0.319733907492616,0.1431339074926159
6.9,300,0.20450000000000035,0.319733907492616,0.11523390749261564
6.9,600,0.15890000000000004,0.319733907492616,0.16083390749261595
11.97,10,0.3515999999999999,0.319733907492616,-0.031866092507383925
11.97,50,0.10670000000000002,0.319733907492616,0.21303390749261597
11.97,150,0.21690000000000031,0.319733907492616,0.10283390749261567
11.97,300,0.19599999999999973,0.319733907492616,0.12373390749261626
11.97,600,0.2688999999999999,0.319733907492616,0.05083390749261607
