row_index,csv_line,C,field,saved,regenerated,absolute_delta,relative_delta_vs_saved,absolute_delta_over_budget
136,138,6.309573444801943e+24,D_over_N,91.28736270479884,91.2874585134598,9.580866095859619e-05,1.0495281944820571e-06,
2,4,1.2589254117941714e+18,c_qual,0.0,943.5572465367376,943.5572465367376,,7.494941620028279e-16
4,6,1.5848931924611108e+18,c_qual,0.0,1984.9724922781963,1984.9724922781963,,1.2524329725940839e-15
5,7,1.7782794100389228e+18,c_qual,2112.6370434417454,0.0,2112.6370434417454,1.0,1.1880231146552522e-15
6,8,1.995262314968883e+18,c_qual,0.0,2248.5127613487757,2248.5127613487757,,1.1269258906360101e-15
8,10,2.511886431509572e+18,c_qual,1371.484688326373,0.0,1371.484688326373,1.0,5.459978887270592e-16
10,12,3.1622776601683794e+18,c_qual,1553.5736888513543,0.0,1553.5736888513543,1.0,4.912831369680019e-16
11,13,3.5481338923357604e+18,c_qual,1653.4926061138517,4488.052471187565,2834.5598650737134,1.7142863866417186,7.988875141371013e-16
13,15,4.4668359215096166e+18,c_qual,1873.0231965069104,0.0,1873.0231965069104,1.0,4.193176623048875e-16
14,16,5.011872336272715e+18,c_qual,1993.488021988469,0.0,1993.488021988469,1.0,3.977531525615452e-16
16,18,6.309573444801943e+18,c_qual,2258.1593153281365,0.0,2258.1593153281365,1.0,3.578941326356207e-16
24,26,1.5848931924611109e+19,c_qual,5.380366703895324e+16,5.380383947788022e+16,172438926984.0,3.2049660641003556e-06,1.0880160745483876e-08
25,27,1.7782794100389229e+19,c_qual,9.064689467976538e+17,9.064708600642712e+17,1913266617472.0,2.110680817286826e-06,1.0759088851116611e-07
26,28,1.9952623149688828e+19,c_qual,1.8222537315743736e+18,1.8222560004696284e+18,2268895254784.0,1.245103914713206e-06,1.1371413361352362e-07
25,27,1.7782794100389229e+19,f_qual,0.0509744948786092,0.0509746024694977,1.0759088849704446e-07,2.1106808170097944e-06,
26,28,1.9952623149688828e+19,f_qual,0.0913290306694732,0.0913291443836069,1.1371413369265504e-07,1.2451039155796501e-06,
