source,period,n_records,n_top,t,raw_frontier,cumulative_frontier
C3,2019,1,1,0.5,5.0,5.0
C3,2021,2,1,2.5,5.0,5.0
C3,2022,3,1,3.5,5.0,5.0
C3,2023,6,1,4.5,10.0,10.0
C1,2024-06,306,3,5.458333333333333,37.98714119878495,37.98714119878495
C1,2024-07,118,1,5.541666666666667,35.89001866123902,37.98714119878495
C1,2024-08,156,1,5.625,45.345219749056206,45.345219749056206
C1,2024-09,268,2,5.708333333333333,50.998185133125,50.998185133125
C1,2024-10,234,2,5.791666666666667,44.19153886154818,50.998185133125
C1,2024-11,226,2,5.875,42.35624368117938,50.998185133125
C1,2024-12,280,2,5.958333333333333,47.400666434000684,50.998185133125
C1,2025-01,342,3,6.041666666666667,44.4229123905584,50.998185133125
C1,2025-02,267,2,6.125,46.04274840069574,50.998185133125
C1,2025-03,149,1,6.208333333333333,47.09154471380421,50.998185133125
