N,D,delta
0.07,10,0.6091000000000002
0.07,50,0.5183
0.07,150,0.41869999999999985
0.07,300,0.44930000000000003
0.07,600,0.45009999999999994
0.16,10,0.4643999999999999
0.16,50,0.42449999999999966
0.16,150,0.4591999999999996
0.16,300,0.36480000000000024
0.16,600,0.4018999999999999
0.41,10,0.2722000000000002
0.41,50,0.3713000000000002
0.41,150,0.4659
0.41,300,0.4293999999999998
0.41,600,0.2763
0.7,10,0.36149999999999993
0.7,50,0.2862999999999998
0.7,150,0.4350999999999998
0.7,300,0.35729999999999995
0.7,600,0.29349999999999987
1.0,10,0.3655999999999997
1.0,50,0.2648999999999999
1.0,150,0.31420000000000003
1.0,300,0.35230000000000006
1.0,600,0.3092999999999999
2.8,10,0.47520000000000007
2.8,50,0.2801
2.8,150,0.19819999999999993
2.8,300,0.3189000000000002
2.8,600,0.258
4.0,10,0.36980000000000013
4.0,50,0.15520000000000023
4.0,150,0.2838000000000003
4.0,300,0.2150000000000003
4.0,600,0.15300000000000002
6.9,10,0.29059999999999997
6.9,50,0.2916000000000003
6.9,150,0.1766000000000001
6.9,300,0.20450000000000035
6.9,600,0.15890000000000004
11.97,10,0.3515999999999999
11.97,50,0.10670000000000002
11.97,150,0.21690000000000031
11.97,300,0.19599999999999973
11.97,600,0.2688999999999999
