indicator_pair,conflict_rate
rps_doc_unigram_entropy|rps_doc_frac_unique_words,0.4164767618942772
rps_doc_frac_no_alph_words|rps_doc_mean_word_length,0.41431166400616504
modernbert_professionalism|rps_doc_frac_unique_words,0.41242179042586374
modernbert_professionalism|qurater,0.39157079686611257
modernbert_cleanliness|rps_doc_mean_word_length,0.38884424139006624
fluency_en|rps_doc_frac_unique_words,0.38390855213665803
modernbert_readability|rps_doc_frac_unique_words,0.3691271719784958
modernbert_reasoning|rps_doc_frac_unique_words,0.3608631034292949
fluency_en|rps_doc_mean_word_length,0.3566026311443827
rps_doc_word_count|rps_doc_frac_chars_top_3gram,0.3549109190657052
rps_doc_frac_unique_words|rps_lines_uppercase_letter_fraction,0.34943579016898774
fineweb_edu|rps_doc_frac_unique_words,0.34848167923524337
rps_doc_word_count|rps_doc_frac_no_alph_words,0.3463385992917561
rps_doc_word_count|rps_doc_frac_chars_top_2gram,0.34312030971908775
modernbert_cleanliness|rps_doc_frac_unique_words,0.3417295095502835
modernbert_readability|rps_doc_mean_word_length,0.3367240968055632
rps_lines_uppercase_letter_fraction|rps_lines_ending_with_terminal_punctution_mark,0.33546907396194564
rps_doc_unigram_entropy|rps_doc_mean_word_length,0.3319939083686538
rps_doc_frac_no_alph_words|rps_lines_uppercase_letter_fraction,0.3309774132584723
rps_lines_ending_with_terminal_punctution_mark|rps_doc_mean_word_length,0.3292857011797949
