loss_domain,scale_factor_10B,scale_factor_70B
arxiv,0.3378524548326425,0.26625932382057355
freelaw,0.3378521916597458,0.2662608324991123
pubmed_central,0.3378516986548236,0.26625788644263254
wikipedia_en,0.33785250046827425,0.26625943519646306
dm_mathematics,0.33785193297978017,0.2662602290747273
github,0.33785425168712974,0.26626005883804715
stackexchange,0.33785348999551834,0.26625992618311983
gutenberg_pg_19,0.33785281098609693,0.2662591552710351
pile_cc,0.33785254901785844,0.2662594499145001
ubuntu_irc,0.33785227205185797,0.26625895853450215
hackernews,0.3378527327467009,0.26625894606958994
pubmed_abstracts,0.337851318539803,0.266259347719534
uspto_backgrounds,0.33785202342224857,0.2662605999771613
