domain,reference_mixture,recommended_mixture,adjustment
pubmed_central,0.113728515625,0.2843212890624988,0.17059277343749882
stackexchange,0.09942382812499999,0.24855957031249867,0.1491357421874987
pubmed_abstracts,0.066173828125,0.16543457031249895,0.09926074218749895
gutenberg_pg_19,0.046912109375,0.11728027343749951,0.07036816406249952
dm_mathematics,0.025460937500000003,0.06365234374999948,0.03819140624999948
ubuntu_irc,0.019599609375,0.04899902343749934,0.029399414062499338
hackernews,0.0116484375,0.029121093749999414,0.017472656249999413
enron_emails,0.0022109375000000002,0.002210937499999992,-8.239936510889834e-18
philpapers,0.005486328125,0.0054863281249999795,-2.0816681711721685e-17
nih_exporter,0.005888671875,0.005888671874999978,-2.2551405187698492e-17
europarl,0.012736328125000002,0.012736328124999953,-4.85722573273506e-17
wikipedia_en,0.075078125,0.01630957031250275,-0.05876855468749725
uspto_backgrounds,0.075548828125,0.0,-0.075548828125
freelaw,0.09680859374999999,8.252654390963979e-16,-0.09680859374999917
github,0.110689453125,1.286265202516756e-15,-0.11068945312499871
arxiv,0.11300390625,1.0629705928299907e-15,-0.11300390624999893
pile_cc,0.119482421875,0.0,-0.119482421875
