indicator,missing_count
fineweb_edu,0
fluency_en,0
modernbert_cleanliness,0
modernbert_readability,0
modernbert_reasoning,13
modernbert_professionalism,6
dsir_books,0
dsir_wiki,0
dsir_math,0
qurater,0
ad_en,0
rps_doc_word_count,0
rps_doc_num_sentences,0
rps_doc_unigram_entropy,0
rps_doc_frac_unique_words,0
rps_doc_frac_no_alph_words,0
rps_doc_frac_chars_top_2gram,0
rps_doc_frac_chars_top_3gram,0
rps_lines_uppercase_letter_fraction,0
rps_lines_ending_with_terminal_punctution_mark,0
rps_lines_numerical_chars_fraction,0
rps_doc_mean_word_length,0
