indicator,list_type,direction,semantics,entropy,weight
fineweb_edu,True,positive,教育价值（列表型，1 维 logit）,0.9911916206725553,0.02748532462154562
fluency_en,True,positive,英语流畅度（列表型，2 维，取第 2 类概率）,0.986273316774334,0.042832209014777065
modernbert_cleanliness,True,positive,文本洁净度（列表型，6 级，取归一化期望级别）,0.9711204173433788,0.09011472766378469
modernbert_readability,True,positive,可读性（列表型，6 级）,0.9885740573431453,0.03565306753449283
modernbert_reasoning,True,positive,推理性（列表型，6 级）,0.9694500065277636,0.09532701267238738
modernbert_professionalism,True,positive,专业性（列表型，6 级）,0.9920204912158449,0.024898949182357882
dsir_books,False,positive,DSIR 书籍域重要性权重,0.9983590436983474,0.005120376287629426
dsir_wiki,False,positive,DSIR 维基域重要性权重,0.9983636688933762,0.005105944008763988
dsir_math,False,positive,DSIR 数学域重要性权重,0.9982594424485007,0.005431168157845233
qurater,True,positive,教育质量评级（列表型，4 级）,0.9900886217125401,0.03092707972157713
ad_en,True,negative,广告含量（列表型，2 维，取第 2 类概率）,0.8794712364813351,0.37609327078163374
rps_doc_word_count,False,target,文档词数（过短/过长均不佳）,0.9896124325027971,0.032412962030287935
rps_doc_num_sentences,False,target,文档句数（过少/过多均不佳）,0.989473103503746,0.03284771882557979
rps_doc_unigram_entropy,False,positive,一元词熵（越高越多样）,0.9930179055328143,0.021786656300208058
rps_doc_frac_unique_words,False,positive,唯一词占比（越高越多样）,0.9891679667952683,0.03379985555524208
rps_doc_frac_no_alph_words,False,negative,非字母字符占比（越低越好）,0.9942152708848098,0.01805044397705724
rps_doc_frac_chars_top_2gram,False,negative,Top-2 字符 2-gram 占比（重复度，越低越好）,0.9973884606500127,0.00814894592160609
rps_doc_frac_chars_top_3gram,False,negative,Top-2 字符 3-gram 占比（重复度，越低越好）,0.9975982603668412,0.00749429503655947
rps_lines_uppercase_letter_fraction,False,negative,大写字母行占比（越低越好）,0.9936288486166397,0.019880293238400678
rps_lines_ending_with_terminal_punctution_mark,False,positive,以终止标点结尾的行占比（越高越好）,0.9822792731502606,0.055295067558826426
rps_lines_numerical_chars_fraction,False,negative,含数字字符行占比（越低越好）,0.9974845411152731,0.00784914017082045
rps_doc_mean_word_length,False,target,平均词长（过短/过长均不佳）,0.9924862890434876,0.023445491738616816
