loss_domain,loss_ratio_60m_vs_1m,loss_ratio_std
arxiv,0.6722894086942722,0.016141346672223028
freelaw,0.7448929025934523,0.01925211390839221
pubmed_central,0.6730766877046441,0.01360210750878665
wikipedia_en,0.7661361211112411,0.015289904215964802
dm_mathematics,0.6885761002644888,0.09280820580358475
github,0.5125641505431027,0.041192246339627314
stackexchange,0.6805544247774826,0.021031223753001108
gutenberg_pg_19,0.8213292799913919,0.00837249584120301
pile_cc,0.8137763956721955,0.010803239044226297
ubuntu_irc,0.7035161254619109,0.017984729468665906
hackernews,0.8185277099893006,0.008483129852357872
pubmed_abstracts,0.7499209936286021,0.02179524222181358
uspto_backgrounds,0.7321821315317831,0.012913818111976194
