fold,n_valid,gamma,lambda_,SSE,RMSE
1,103,0.015625,1e-06,86.58870483399006,0.2542964710156547
1,103,0.015625,1e-05,83.07452618821964,0.2490827477495226
1,103,0.015625,0.0001,107.80336765598304,0.28374346992644994
1,103,0.015625,0.001,138.5789841533031,0.3217054350960725
1,103,0.015625,0.01,164.02542401518716,0.34999778513668894
1,103,0.015625,0.1,224.61300019497787,0.40956907370449613
1,103,0.015625,1.0,522.9259741385664,0.6249277623009903
1,103,0.015625,10.0,809.2319431231072,0.7774030143329015
1,103,0.015625,100.0,871.1634236734881,0.8066024336312603
1,103,0.03125,1e-06,105.95731637357257,0.28130353295002575
1,103,0.03125,1e-05,83.55769454741679,0.24980604058834582
1,103,0.03125,0.0001,89.9393992813269,0.259169984503046
1,103,0.03125,0.001,121.75773054481316,0.3015490633359933
1,103,0.03125,0.01,151.04732979569633,0.33586615123098623
1,103,0.03125,0.1,190.4140278801321,0.3771023001716133
1,103,0.03125,1.0,412.0575395328352,0.5547389293269901
1,103,0.03125,10.0,755.0743924844828,0.75093886591845
1,103,0.03125,100.0,863.8873347721104,0.8032269378239795
1,103,0.0625,1e-06,141.9305782899066,0.32557248744016065
1,103,0.0625,1e-05,99.08053312666955,0.27202190572987917
1,103,0.0625,0.0001,83.45817820894219,0.24965723808147272
1,103,0.0625,0.001,102.68042235747927,0.27691949738861854
1,103,0.0625,0.01,135.35087108809154,0.317936390235634
1,103,0.0625,0.1,170.18171047458011,0.3565054337980601
1,103,0.0625,1.0,317.8013687060419,0.4871779158197403
1,103,0.0625,10.0,676.13525227223,0.7106021241483065
1,103,0.0625,100.0,850.5646562208312,0.7970092791515325
1,103,0.125,1e-06,154.5500015372909,0.33973807239133713
1,103,0.125,1e-05,130.1292543068163,0.3117433385276543
1,103,0.125,0.0001,94.07182088050723,0.2650571272713333
1,103,0.125,0.001,89.63722144140326,0.2587342393325432
1,103,0.125,0.01,119.04670068860466,0.2981730538525698
1,103,0.125,0.1,153.1479475605512,0.338193535543789
1,103,0.125,1.0,249.31412050076787,0.4315023345827769
1,103,0.125,10.0,580.523122730953,0.6584449525867521
1,103,0.125,100.0,828.0939225722634,0.7864108742640608
1,103,0.25,1e-06,147.16776194915434,0.331524824781972
1,103,0.25,1e-05,142.2511227100771,0.3259399261854251
1,103,0.25,0.0001,119.67158660970584,0.29895459703798877
1,103,0.25,0.001,94.55027651799475,0.2657303216086781
1,103,0.25,0.01,104.11002247836785,0.2788405826971758
1,103,0.25,0.1,139.11111632716032,0.32232250481103963
1,103,0.25,1.0,206.6022087759659,0.3928051667317742
1,103,0.25,10.0,487.38073734678534,0.6033146786328921
1,103,0.25,100.0,795.5526143724837,0.7708043645850698
1,103,0.5,1e-06,140.1838211159453,0.3235628546712927
1,103,0.5,1e-05,139.55587034614166,0.32283734444452405
1,103,0.5,0.0001,134.5135773729665,0.31695147188288586
1,103,0.5,0.001,116.19300047324565,0.29457758325536043
