gamma,lambda_,CV_RMSE
0.015625,1e-06,0.2631713694926666
0.015625,1e-05,0.25712765743863714
0.015625,0.0001,0.29742473906956174
0.015625,0.001,0.3415509191618745
0.015625,0.01,0.3665160947145593
0.015625,0.1,0.41567833391966447
0.015625,1.0,0.6334004505703648
0.015625,10.0,0.7908133917452691
0.015625,100.0,0.8207730782560677
0.03125,1e-06,0.2912255199427265
0.03125,1e-05,0.2573857509785539
0.03125,0.0001,0.26728977003403265
0.03125,0.001,0.31924783488760516
0.03125,0.01,0.35434206999769624
0.03125,0.1,0.3866096336790736
0.03125,1.0,0.5609678326052862
0.03125,10.0,0.7636112829702378
0.03125,100.0,0.8173149089341577
0.0625,1e-06,0.33643029889944903
0.0625,1e-05,0.2806528647583976
0.0625,0.0001,0.25576318319535934
0.0625,0.001,0.2883584743787059
0.0625,0.01,0.33704572031048263
0.0625,0.1,0.36985929608755985
0.0625,1.0,0.492226639773727
0.0625,10.0,0.7220823089360244
0.0625,100.0,0.8109464732084961
0.125,1e-06,0.35340873826460484
0.125,1e-05,0.32143228153516573
0.125,0.0001,0.27178851277495175
0.125,0.001,0.2646094846261083
0.125,0.01,0.31423886366555576
0.125,0.1,0.3547281568618363
0.125,1.0,0.4375250855345515
0.125,10.0,0.6683593272763337
0.125,100.0,0.8000983640998484
0.25,1e-06,0.34390616284787606
0.25,1e-05,0.33703701149281
0.25,0.0001,0.3070921226622254
0.25,0.001,0.2701616027039108
0.25,0.01,0.2883249286097247
0.25,0.1,0.339934416568215
0.25,1.0,0.40191858786881585
0.25,10.0,0.6118663839881223
0.25,100.0,0.7841569801285074
0.5,1e-06,0.3326730556971797
0.5,1e-05,0.3318239698900249
0.5,0.0001,0.32504047742855274
0.5,0.001,0.30051393977647745
0.5,0.01,0.2848278132587518
0.5,0.1,0.3249764535005714
0.5,1.0,0.38397015693441644
0.5,10.0,0.5670874760908585
0.5,100.0,0.7666575323954522
1.0,1e-06,0.3358281906411908
1.0,1e-05,0.33573203818786806
1.0,0.0001,0.3348134691887527
1.0,0.001,0.32836276656204266
1.0,0.01,0.3129421535290073
1.0,0.1,0.323721719164388
1.0,1.0,0.3838618629777242
1.0,10.0,0.5519381592738634
1.0,100.0,0.7583887731653824
2.0,1e-06,0.361050650919494
2.0,1e-05,0.36103898547037666
2.0,0.0001,0.36092360711472415
2.0,0.001,0.35988336601641824
2.0,0.01,0.3547523345819397
2.0,0.1,0.3552388313623949
2.0,1.0,0.4103170537840861
2.0,10.0,0.5860697104290699
2.0,100.0,0.771812706712221
4.0,1e-06,0.42708809021122196
4.0,1e-05,0.42708757364127026
4.0,0.0001,0.4270824556780543
4.0,0.001,0.4270358729986264
4.0,0.01,0.4269037199728038
4.0,0.1,0.43279956407359016
4.0,1.0,0.494678800067939
4.0,10.0,0.6757492996956792
4.0,100.0,0.7996174762381906
