index,fold
1,4
2,5
3,3
4,4
5,1
6,1
7,1
8,3
9,1
10,1
11,5
12,3
13,5
14,5
15,2
16,5
17,5
18,2
19,4
20,2
21,4
22,2
23,3
24,5
25,2
26,3
27,2
28,5
29,2
30,4
31,1
32,3
33,1
34,5
35,4
36,2
37,2
38,2
39,4
40,2
41,5
42,1
43,1
44,2
45,2
46,4
47,5
48,3
49,4
50,5
51,3
52,5
53,3
54,2
55,5
56,3
57,5
58,3
59,1
60,1
61,2
62,3
63,5
64,1
65,1
66,5
67,1
68,5
69,5
70,4
71,3
72,5
73,4
74,3
75,1
76,4
77,4
78,5
79,1
80,4
81,1
82,1
83,3
84,1
85,3
86,5
87,1
88,4
89,5
90,4
91,3
92,3
93,1
94,3
95,5
96,2
97,2
98,5
99,2
100,2
101,1
102,4
103,2
104,2
105,4
106,4
107,3
108,3
109,5
110,2
111,4
112,1
113,4
114,1
115,4
116,3
117,1
118,3
119,3
120,5
121,5
122,5
123,1
124,1
125,4
126,3
127,2
128,2
129,4
130,2
131,3
132,4
133,2
134,5
135,2
136,3
137,3
138,3
139,1
140,1
141,3
142,4
143,2
144,1
145,2
146,1
147,3
148,2
149,3
150,4
151,1
152,5
153,5
154,5
155,2
156,1
157,4
158,1
159,2
160,4
161,3
162,1
163,5
164,4
165,5
166,5
167,2
168,1
169,4
170,3
171,3
172,4
173,3
174,2
175,1
176,1
177,3
178,5
179,3
180,1
181,5
182,4
183,3
184,4
185,5
186,4
187,4
188,4
189,2
190,1
191,4
192,3
193,1
194,1
195,1
196,4
197,1
198,5
199,2
200,1
201,3
202,4
203,5
204,3
205,3
206,1
207,3
208,5
209,1
210,5
211,5
212,3
213,3
214,1
215,1
216,2
217,5
218,2
219,2
220,2
221,2
222,3
223,1
224,3
225,3
226,4
227,4
228,2
229,5
230,2
231,2
232,1
233,1
234,1
235,2
236,5
237,5
238,2
239,1
240,5
241,5
242,3
243,5
244,2
245,2
246,5
247,3
248,2
249,4
250,5
251,4
252,2
253,2
254,1
255,2
256,3
257,1
258,4
259,5
260,5
261,3
262,3
263,4
264,4
265,4
266,2
267,3
268,2
269,1
270,1
271,2
272,4
273,2
274,3
275,3
276,4
277,4
278,4
279,1
280,2
281,1
282,5
283,3
284,1
285,4
286,2
287,3
288,2
289,4
290,2
291,2
292,3
293,5
294,3
295,5
296,2
297,3
298,3
299,3
300,2
301,2
302,2
303,2
304,1
305,5
306,4
307,1
308,5
309,2
310,4
311,1
312,2
313,1
314,3
315,4
316,5
317,4
318,5
319,5
320,3
321,5
322,3
323,4
324,4
325,2
326,3
327,2
328,1
329,3
330,5
331,3
332,4
333,2
334,4
335,4
336,2
337,2
338,5
339,1
340,4
341,3
342,1
343,4
344,3
345,1
346,4
347,5
348,3
349,5
350,3
351,3
352,3
353,2
354,3
355,1
356,4
357,4
358,5
359,2
360,1
361,3
362,5
363,1
364,4
365,2
366,2
367,2
368,4
369,2
370,4
371,5
372,3
373,1
374,3
375,5
376,5
377,2
378,5
379,1
380,1
381,5
382,5
383,2
384,5
385,1
386,4
387,1
388,1
389,4
390,1
391,4
392,5
393,1
394,1
395,1
396,4
397,4
398,2
399,5
400,5
401,5
402,2
403,5
404,5
405,3
406,3
407,4
408,1
409,2
410,1
411,1
412,5
413,1
414,3
415,3
416,4
417,1
418,3
419,3
420,5
421,5
422,5
423,3
424,1
425,3
426,3
427,1
428,2
429,4
430,5
431,4
432,2
433,3
434,4
435,3
436,1
437,1
438,5
439,3
440,4
441,2
442,1
443,5
444,3
445,1
446,4
447,2
448,5
449,2
450,2
451,3
452,4
453,1
454,4
455,1
456,5
457,4
458,2
459,3
460,2
461,3
462,4
463,4
464,1
465,2
466,2
467,5
468,5
469,2
470,5
471,4
472,2
473,4
474,3
475,1
476,4
477,1
478,3
479,5
480,5
481,4
482,4
483,2
484,5
485,2
486,4
487,4
488,3
489,1
490,2
491,4
492,5
493,3
494,3
495,4
496,1
497,2
498,5
499,4
500,2
501,4
502,2
503,2
504,3
505,1
506,4
507,1
508,5
509,1
510,4
511,5
512,4
