指标,数值
E,1.655829298277712
A,0.38077384328313946
alpha,0.3266200361390786
B,1.2514914814202815
beta,0.2766577594921601
C,0.35443315483286153
gamma,0.9778867817378788
经典R2,0.9999998165821044
经典残差标准差,0.00014649608992796354
留出R2,0.9999996558420374
广义R2,0.9895698551625972
广义RMSE,0.03555716775844267
广义MAPE%,0.6567795545777116
B6方向相关r,-0.9247886196145926
B7方向相关r,-0.9184291685767082
B8方向相关r,0.9954208774772993
参考点弹性e_N,-0.04913193831123735
参考点弹性e_D,-0.038256849476571694
参考点弹性e_Q,-0.08383548259797348
替代率dN/dQ,2.8438895173406586
推荐配比M(p),-0.19879908360788257
