Model,Year,Average,mean6,gap
GPT-3 (175B),2020,50.0,7.666666666666667,42.333333333333336
Chinchilla (70B),2022,35.0,28.233333333333334,6.766666666666666
OPT (30B),2022,12.0,1.4166666666666667,10.583333333333334
OPT (175B),2022,30.0,2.3333333333333335,27.666666666666668
BLOOM (176B),2022,25.0,1.4166666666666667,23.583333333333332
LLaMA (13B),2023,15.0,7.733333333333333,7.266666666666667
LLaMA (33B),2023,25.0,8.633333333333333,16.366666666666667
LLaMA (65B),2023,35.0,18.7,16.3
Falcon (40B),2023,12.0,1.5666666666666667,10.433333333333334
Mistral (7B),2023,12.0,2.433333333333333,9.566666666666666
Mixtral (8x7B),2023,20.0,3.283333333333333,16.71666666666667
Yi (34B),2023,15.0,3.733333333333333,11.266666666666667
Gemma (7B),2024,8.0,2.566666666666667,5.433333333333334
