类别,子任务,样本数,最优得分,前5%均值,中位数,剩余空间_%
BBH子任务,bbh_boolean_expressions,964,96.0,92.89166666666667,80.4,4.0
BBH子任务,bbh_causal_judgement,964,74.33155080213903,68.18181818181819,58.82352941176471,25.668449197860966
BBH子任务,bbh_date_understanding,964,88.0,75.05,47.599999999999994,12.0
BBH子任务,bbh_disambiguation_qa,964,93.60000000000001,76.70833333333333,57.0,6.3999999999999915
BBH子任务,bbh_formal_fallacies,964,82.8,76.55,54.0,17.200000000000003
BBH子任务,bbh_geometric_shapes,964,62.0,58.19166666666666,35.199999999999996,38.0
BBH子任务,bbh_hyperbaton,964,98.8,86.63333333333333,63.400000000000006,1.2000000000000028
BBH子任务,bbh_logical_deduction_five_objects,964,82.0,67.09166666666668,40.0,18.0
BBH子任务,bbh_logical_deduction_seven_objects,964,74.4,63.883333333333326,38.4,25.599999999999994
BBH子任务,bbh_logical_deduction_three_objects,964,98.0,93.63333333333333,57.599999999999994,2.0
BBH子任务,bbh_movie_recommendation,964,99.6,87.075,62.4,0.40000000000000563
BBH子任务,bbh_navigate,964,82.8,75.33333333333333,59.199999999999996,17.200000000000003
BBH子任务,bbh_object_counting,964,73.2,58.90833333333333,37.2,26.799999999999997
BBH子任务,bbh_penguins_in_a_table,964,82.1917808219178,75.15696347031962,46.23287671232877,17.808219178082197
BBH子任务,bbh_reasoning_about_colored_objects,964,90.8,85.69166666666666,50.599999999999994,9.200000000000003
BBH子任务,bbh_ruin_names,964,96.8,89.88333333333333,56.39999999999999,3.200000000000003
BBH子任务,bbh_salient_translation_error_detection,964,75.2,67.34166666666668,44.4,24.799999999999997
BBH子任务,bbh_snarks,964,91.01123595505618,85.22940074906367,59.55056179775281,8.98876404494382
BBH子任务,bbh_sports_understanding,964,94.8,89.71666666666665,71.2,5.200000000000003
BBH子任务,bbh_temporal_sequences,964,100.0,99.26666666666667,28.4,0.0
BBH子任务,bbh_tracking_shuffled_objects_five_objects,964,41.6,31.241666666666664,19.6,58.4
BBH子任务,bbh_tracking_shuffled_objects_seven_objects,964,41.199999999999996,32.666666666666664,15.2,58.80000000000001
BBH子任务,bbh_tracking_shuffled_objects_three_objects,964,52.0,40.775,32.800000000000004,48.0
BBH子任务,bbh_web_of_lies,964,91.60000000000001,64.89166666666667,49.6,8.399999999999991
MATH子任务,math_algebra_hard,962,84.03908794788273,71.24049945711184,11.400651465798045,15.960912052117266
MATH子任务,math_counting_and_prob_hard,962,59.34959349593496,45.13888888888889,4.0650406504065035,40.65040650406504
MATH子任务,math_geometry_hard,962,40.909090909090914,28.724747474747474,2.272727272727273,59.09090909090908
MATH子任务,math_intermediate_algebra_hard,962,31.785714285714285,20.111607142857142,1.4285714285714286,68.21428571428572
MATH子任务,math_num_theory_hard,962,61.038961038961034,50.24350649350649,4.545454545454546,38.961038961038966
MATH子任务,math_prealgebra_hard,962,75.12953367875647,65.07987910189983,15.025906735751295,24.870466321243526
MATH子任务,math_precalculus_hard,962,36.2962962962963,22.885802469135808,2.2222222222222223,63.70370370370371
GPQA子集,gpqa_diamond,961,44.94949494949495,41.40361952861952,28.28282828282828,55.05050505050505
GPQA子集,gpqa_extended,961,44.871794871794876,39.735958485958484,29.120879120879124,55.128205128205124
GPQA子集,gpqa_main,961,48.660714285714285,39.88560267857143,29.017857142857146,51.33928571428572
MUSR子任务,musr_murder_mysteries,961,72.39999999999999,60.658333333333324,53.6,27.60000000000001
MUSR子任务,musr_object_placements,961,48.046875,43.863932291666664,28.90625,51.953125
MUSR子任务,musr_team_allocation,961,80.0,54.4,36.8,20.0
