dir,json_model_name,file,leaderboard,leaderboard_bbh,leaderboard_bbh_boolean_expressions,leaderboard_bbh_causal_judgement,leaderboard_bbh_date_understanding,leaderboard_bbh_disambiguation_qa,leaderboard_bbh_formal_fallacies,leaderboard_bbh_geometric_shapes,leaderboard_bbh_hyperbaton,leaderboard_bbh_logical_deduction_five_objects,leaderboard_bbh_logical_deduction_seven_objects,leaderboard_bbh_logical_deduction_three_objects,leaderboard_bbh_movie_recommendation,leaderboard_bbh_navigate,leaderboard_bbh_object_counting,leaderboard_bbh_penguins_in_a_table,leaderboard_bbh_reasoning_about_colored_objects,leaderboard_bbh_ruin_names,leaderboard_bbh_salient_translation_error_detection,leaderboard_bbh_snarks,leaderboard_bbh_sports_understanding,leaderboard_bbh_temporal_sequences,leaderboard_bbh_tracking_shuffled_objects_five_objects,leaderboard_bbh_tracking_shuffled_objects_seven_objects,leaderboard_bbh_tracking_shuffled_objects_three_objects,leaderboard_bbh_web_of_lies,leaderboard_gpqa,leaderboard_gpqa_diamond,leaderboard_gpqa_extended,leaderboard_gpqa_main,leaderboard_ifeval,leaderboard_math_hard,leaderboard_math_algebra_hard,leaderboard_math_counting_and_prob_hard,leaderboard_math_geometry_hard,leaderboard_math_intermediate_algebra_hard,leaderboard_math_num_theory_hard,leaderboard_math_prealgebra_hard,leaderboard_math_precalculus_hard,leaderboard_mmlu_pro,leaderboard_musr,leaderboard_musr_murder_mysteries,leaderboard_musr_object_placements,leaderboard_musr_team_allocation,leaderboard_arc_challenge
0-hero_Matter-0.2-7B-DPO,0-hero/Matter-0.2-7B-DPO,results_2024-08-07T13-21-02.903091.json,34.53106758334415,35.84447144592953,72.8,57.75401069518716,21.6,36.8,48.8,31.6,49.2,22.400000000000002,18.4,40.0,55.60000000000001,49.2,27.200000000000003,21.91780821917808,35.6,15.6,20.8,46.62921348314607,57.99999999999999,20.0,21.2,13.200000000000001,30.4,48.4,25.922818791946305,26.262626262626267,25.274725274725274,26.5625,27.171903881700555,0.8308157099697886,1.3029315960912053,0.8130081300813009,0.7575757575757576,0.35714285714285715,0.6493506493506493,1.5544041450777202,0.0,11.63563829787234,38.095238095238095,50.8,32.8125,30.8,
01-ai_Yi-1.5-34B,01-ai/Yi-1.5-34B,results_2024-06-19T03-56-15.142347.json,56.00720639567617,59.53827460510328,89.2,62.03208556149733,62.8,72.0,58.4,48.8,60.8,42.8,39.6,62.4,87.6,70.39999999999999,35.199999999999996,55.47945205479452,65.2,83.2,53.2,82.02247191011236,86.0,92.0,22.8,20.0,34.8,47.599999999999994,36.577181208053695,40.4040404040404,34.98168498168498,36.830357142857146,23.65988909426987,14.04833836858006,25.0814332247557,11.38211382113821,4.545454545454546,3.9285714285714284,9.090909090909092,29.533678756476682,5.185185185185185,46.65890957446808,42.32804232804233,55.2,38.28125,33.6,67.23549488054607
01-ai_Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,results_2024-06-17T17-59-09.162276.json,56.16484630109222,59.81600416594341,91.2,64.70588235294117,63.2,73.6,57.199999999999996,44.4,66.0,46.0,42.0,68.4,82.8,68.4,38.0,59.589041095890416,68.8,83.6,52.400000000000006,84.26966292134831,80.80000000000001,76.8,27.200000000000003,23.599999999999998,34.0,46.800000000000004,36.3255033557047,41.41414141414141,35.34798534798535,35.267857142857146,27.171903881700555,13.444108761329304,23.452768729641694,7.317073170731707,6.0606060606060606,3.571428571428571,9.740259740259742,29.015544041450774,5.9259259259259265,47.09109042553192,43.91534391534391,56.39999999999999,35.546875,40.0,66.29692832764505
01-ai_Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,results_2024-06-17T00-49-43.171619.json,56.795405922756444,60.649192848463805,88.0,60.42780748663101,62.8,80.80000000000001,63.6,44.0,73.2,55.2,53.6,79.2,69.6,62.4,38.4,56.849315068493155,75.2,76.8,61.6,82.02247191011236,83.2,54.800000000000004,24.8,24.8,34.0,54.800000000000004,36.49328859060403,36.868686868686865,35.714285714285715,37.276785714285715,62.661737523105366,23.338368580060422,42.671009771986974,15.447154471544716,6.8181818181818175,7.857142857142857,22.07792207792208,42.487046632124354,8.88888888888889,45.20445478723404,42.72486772486773,58.4,30.859375,39.2,67.57679180887372
01-ai_Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,results_2024-07-17T11-40-22.183397.json,54.896873783888964,60.70126714112133,93.60000000000001,63.101604278074866,61.6,72.39999999999999,62.4,45.2,64.0,46.800000000000004,49.2,77.2,76.0,68.8,37.2,63.013698630136986,70.39999999999999,81.2,59.199999999999996,80.33707865168539,84.0,80.0,21.2,20.0,35.199999999999996,52.0,33.808724832214764,37.878787878787875,32.05128205128205,34.151785714285715,48.613678373382626,18.806646525679756,34.527687296416936,18.69918699186992,6.8181818181818175,1.4285714285714286,15.584415584415584,40.41450777202073,3.7037037037037033,45.44547872340425,43.91534391534391,54.800000000000004,36.328125,40.8,
01-ai_Yi-1.5-6B,01-ai/Yi-1.5-6B,results_2024-06-17T14-53-45.170909.json,44.51075329354802,44.81860788057629,84.8,52.406417112299465,56.8,51.6,50.0,41.199999999999996,49.2,32.800000000000004,26.400000000000002,43.6,84.39999999999999,44.800000000000004,38.0,34.93150684931507,29.599999999999998,54.400000000000006,35.199999999999996,57.865168539325836,70.0,34.4,10.4,12.0,32.800000000000004,49.6,31.20805369127517,29.797979797979796,33.150183150183146,29.464285714285715,23.475046210720887,5.664652567975831,11.074918566775244,0.8130081300813009,0.7575757575757576,1.7857142857142856,7.792207792207792,9.844559585492227,2.2222222222222223,31.008976063829785,43.783068783068785,52.400000000000006,32.421875,46.800000000000004,56.996587030716725
01-ai_Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,results_2024-06-17T10-38-31.759281.json,45.073752955748226,45.061621246311404,82.0,61.49732620320856,46.800000000000004,57.99999999999999,54.0,41.199999999999996,58.8,34.0,31.6,51.6,53.6,61.199999999999996,41.199999999999996,43.83561643835616,43.6,35.6,35.6,73.03370786516854,56.00000000000001,23.599999999999998,14.799999999999999,12.4,28.799999999999997,50.4,31.79530201342282,32.323232323232325,30.036630036630036,33.705357142857146,48.059149722735675,12.537764350453173,21.824104234527688,6.504065040650407,3.0303030303030303,2.857142857142857,12.987012987012985,28.497409326424872,2.9629629629629632,31.97307180851064,44.17989417989418,52.400000000000006,26.171875,54.400000000000006,59.21501706484642
01-ai_Yi-1.5-9B,01-ai/Yi-1.5-9B,results_2024-06-16T17-52-34.155462.json,50.20830987501408,51.3626106578719,83.2,57.21925133689839,50.8,62.4,53.2,47.199999999999996,65.60000000000001,42.0,40.8,53.6,84.8,42.4,39.6,47.94520547945205,51.6,67.60000000000001,47.199999999999996,56.74157303370787,76.0,48.8,18.0,14.799999999999999,34.0,48.8,37.919463087248324,41.91919191919192,35.53113553113553,39.0625,25.13863216266174,10.196374622356496,16.612377850162865,9.75609756097561,3.0303030303030303,2.5,8.441558441558442,23.83419689119171,1.4814814814814816,39.16223404255319,43.25396825396825,52.800000000000004,40.234375,36.8,61.51877133105802
01-ai_Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,results_2024-06-16T17-46-59.477573.json,48.485530908681454,49.401145634438464,83.6,54.54545454545454,52.0,61.6,54.400000000000006,48.4,56.8,46.400000000000006,42.4,57.599999999999994,74.4,42.0,41.6,53.42465753424658,53.2,62.4,42.8,58.42696629213483,80.80000000000001,18.4,12.0,11.200000000000001,34.0,48.8,35.90604026845637,39.8989898989899,32.6007326007326,38.169642857142854,19.408502772643253,9.592145015105741,20.195439739413683,8.130081300813007,1.5151515151515151,2.142857142857143,5.194805194805195,19.170984455958546,1.4814814814814816,37.649601063829785,41.7989417989418,55.2,33.984375,36.4,61.092150170648466
01-ai_Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,results_2024-06-17T09-46-28.414421.json,52.05494876703074,55.28554070473876,84.39999999999999,64.1711229946524,59.199999999999996,66.4,62.4,52.800000000000004,72.8,46.0,44.800000000000004,68.4,68.4,72.8,41.6,60.273972602739725,64.8,66.4,48.8,65.73033707865169,69.6,38.4,22.0,15.6,29.2,49.2,33.47315436241611,33.33333333333333,32.967032967032964,34.151785714285715,59.70425138632163,11.63141993957704,23.12703583061889,10.569105691056912,1.5151515151515151,2.142857142857143,11.688311688311687,22.279792746113987,0.7407407407407408,39.752327127659576,42.46031746031746,56.8,26.171875,44.800000000000004,61.262798634812285
